classe_num,avgNote_w22,ndevoir_w22,log_w22,logMonday_w22,logSunday_w22,logWed_w22,logThursday_w22,DiffDaysWeek,log_resource,log_core,logviewed_w22,logviewedCore_w22,logviewedResource_w22,logViewedTargetCourse_w22,logViewedTargetCourseModule_w22,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,18.3333,3,1296,180,90,117,261,0,585,711,1296,711,585,711,585,0,0,6,0,0
1,15.5,2,63,0,0,0,0,0,27,36,63,36,27,36,27,0,0,4,0,0
1,15.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,14,2,90,0,0,0,0,0,9,81,90,81,9,81,9,0,0,3,0,0
1,18,4,972,324,0,0,405,0,297,612,972,612,297,441,360,0,0,6,0,0
1,19.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,19.5,2,81,0,0,0,0,0,9,72,81,72,9,72,9,0,0,4,0,0
1,18.6667,3,342,0,81,117,72,1,108,234,342,234,108,234,108,0,1,5,0,0
1,15.5,2,315,45,0,18,216,0,90,225,315,225,90,225,90,0,0,4,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,11.75,4,1242,216,99,207,27,0,351,891,1242,891,351,891,351,0,0,6,0,0
1,18,3,198,36,0,0,72,0,36,162,198,162,36,162,36,0,0,4,0,0
1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,17,4,2255,495,363,165,396,1,682,1573,2255,1573,682,1573,682,1,1,6,0,0
1,14.5,2,108,108,0,0,0,0,27,81,108,81,27,81,27,0,0,4,0,0
1,17,2,360,126,0,63,90,1,108,252,360,252,108,252,108,0,1,3,0,0
1,19.5,4,846,414,288,0,0,0,432,414,846,414,432,414,432,0,0,6,0,0
1,18.25,4,891,117,18,0,108,1,270,621,891,621,270,585,270,1,1,5,0,0
1,12.5,2,684,108,162,63,72,0,162,522,684,522,162,522,162,0,0,6,0,1
1,17.5,4,45,0,0,0,9,0,9,36,45,36,9,36,9,0,0,5,0,0
0,8.5,2,252,72,0,36,0,0,72,180,252,180,72,180,72,0,0,4,0,0
1,10.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15.75,4,45,45,0,0,0,0,9,36,45,36,9,36,9,1,0,6,1,0
1,14.5,2,2170,750,0,270,340,1,690,1480,2170,1480,690,1480,690,0,1,4,0,0
0,13.3333,3,117,0,108,9,0,0,36,81,117,81,36,81,36,1,0,5,0,0
1,18.5,2,110,0,0,44,0,0,22,88,110,88,22,77,22,0,0,4,0,0
1,19,2,330,0,0,0,330,0,120,210,330,210,120,210,120,0,0,4,0,0
1,15,1,240,40,0,40,0,0,110,130,240,130,110,130,110,0,0,3,0,0
1,19.3333,3,693,27,0,9,18,0,297,387,693,387,297,297,297,0,0,6,0,0
1,17.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,15.25,4,100,60,0,0,0,0,40,60,100,60,40,60,40,0,0,6,0,0
0,11.5,2,468,0,405,0,0,0,315,153,468,153,315,153,315,0,0,5,0,0
1,18.5,2,207,0,0,45,36,0,45,162,207,162,45,162,45,0,0,5,0,0
1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,18.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,17.25,4,432,297,0,54,0,0,99,333,432,333,99,333,99,0,0,6,1,0
1,18,2,54,0,0,0,54,0,0,54,54,54,0,54,0,0,0,5,0,0
1,16.3333,3,126,0,0,63,63,0,27,99,126,99,27,99,27,0,0,6,0,0
1,17,1,9,9,0,0,0,0,0,9,9,9,0,9,0,1,0,3,0,1
1,17,3,63,0,0,0,0,0,27,36,63,36,27,36,27,0,0,6,1,0
1,19.25,4,280,70,10,0,50,0,80,200,280,200,80,200,80,1,0,4,0,0
1,19.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,19.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
1,19.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,15,3,470,100,60,210,0,0,180,290,470,290,180,290,180,0,0,5,0,0
1,17.25,4,297,0,63,0,0,0,153,144,297,144,153,144,153,1,0,6,0,0
-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,15.3333,3,243,72,81,0,0,0,63,180,243,180,63,180,63,0,0,5,1,0
1,14.5,2,459,63,0,72,0,0,189,270,459,270,189,270,189,0,0,3,0,0
0,11.3333,3,108,0,0,0,108,0,54,54,108,54,54,54,54,0,0,3,0,0
1,14,1,297,27,0,0,126,0,0,135,279,135,0,126,117,0,0,2,1,0
1,17,1,9,0,0,0,0,0,0,9,9,9,0,9,0,0,0,3,0,0
1,15,3,315,0,54,144,81,1,45,270,315,270,45,270,45,0,1,4,1,0
1,19,4,27,9,18,0,0,0,0,27,27,27,0,27,0,0,0,6,0,0
1,19.25,4,801,27,81,99,378,0,189,522,792,522,189,423,252,0,0,6,0,0
0,12.3333,3,288,90,0,108,90,0,108,180,288,180,108,180,108,0,0,5,0,0
1,17.3333,3,190,30,0,150,10,0,50,140,190,140,50,90,50,0,0,5,0,0
1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
1,18,4,486,0,9,90,0,0,162,324,486,324,162,324,162,0,0,6,0,0
0,12,2,297,0,63,153,36,0,108,189,297,189,108,189,108,0,0,5,1,0
1,17,1,135,72,63,0,0,0,36,99,135,99,36,99,36,0,0,6,0,0
0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,11.5,2,198,0,0,54,45,0,45,153,198,153,45,153,45,0,0,5,1,0
1,12.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,13.5,2,585,36,63,0,117,0,198,387,585,387,198,387,198,0,0,3,1,1
0,9,1,18,18,0,0,0,0,0,18,18,18,0,18,0,0,0,1,0,0
1,16.75,4,126,63,0,0,63,0,18,108,126,108,18,108,18,1,0,6,1,0
1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
