classe_num,avgNote_w6,ndevoir_w6,log_w6,logsMonday_w6,logSunday_w6,logWed_w6,logThursday_w6,DiffDaysWeek,log_resource,log_core,logviewed_w6,logviewedCore_w6,logviewedResource_w6,logViewedTargetCourse_w6,logViewedTargetCourseModule_w6,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,0,0,576,27,0,45,180,0,207,369,576,369,207,369,207,0,0,6,0,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,18,1,783,207,0,0,405,0,279,441,783,441,279,270,342,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,14,1,117,45,0,18,18,0,36,81,117,81,36,81,36,0,0,4,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,8,1,576,63,63,108,27,0,162,414,576,414,162,414,162,0,0,6,0,0
1,18,1,162,36,0,0,72,0,27,135,162,135,27,135,27,0,0,4,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,18,1,715,44,242,165,99,0,220,495,715,495,220,495,220,0,0,6,0,0
1,0,0,108,108,0,0,0,0,27,81,108,81,27,81,27,0,0,4,0,0
1,18,1,90,81,0,9,0,0,27,63,90,63,27,63,27,0,0,3,0,0
1,20,1,810,414,252,0,0,1,432,378,810,378,432,378,432,0,1,6,0,0
1,17,1,441,0,0,0,0,1,126,315,441,315,126,315,126,0,1,5,0,0
1,12,1,144,72,0,0,0,0,45,99,144,99,45,99,45,0,0,6,0,1
1,16,1,9,0,0,0,9,0,0,9,9,9,0,9,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,13,1,45,45,0,0,0,0,9,36,45,36,9,36,9,0,0,6,1,0
1,14,1,940,530,0,0,100,1,320,620,940,620,320,620,320,0,1,4,0,0
0,0,0,27,0,18,9,0,0,0,27,27,27,0,27,0,0,0,5,0,0
1,17,1,66,0,0,0,0,0,22,44,66,44,22,33,22,0,0,4,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,15,1,240,40,0,40,0,0,110,130,240,130,110,130,110,1,0,3,0,0
1,20,1,441,27,0,9,18,0,135,297,441,297,135,207,135,0,0,6,0,0
1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,11,1,100,60,0,0,0,1,40,60,100,60,40,60,40,0,1,6,0,0
0,0,0,468,0,405,0,0,0,315,153,468,153,315,153,315,0,0,5,0,0
1,17,1,162,0,0,0,36,0,36,126,162,126,36,126,36,0,0,5,0,0
1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17,1,333,198,0,54,0,0,90,243,333,243,90,243,90,0,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,9,9,0,0,0,0,0,9,9,9,0,9,0,0,0,3,0,1
1,0,0,63,0,0,0,0,0,27,36,63,36,27,36,27,0,0,6,1,0
1,0,0,280,70,10,0,50,0,80,200,280,200,80,200,80,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,0,0,60,0,60,0,0,0,30,30,60,30,30,30,30,0,0,5,0,0
1,19,2,297,0,63,0,0,0,153,144,297,144,153,144,153,0,0,6,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,17,1,99,9,0,0,0,0,27,72,99,72,27,72,27,0,0,5,1,0
1,0,0,144,63,0,0,0,1,63,81,144,81,63,81,63,0,1,3,0,0
0,0,0,108,0,0,0,108,0,54,54,108,54,54,54,54,0,0,3,0,0
1,0,0,18,18,0,0,0,0,0,18,18,18,0,18,0,0,0,2,1,0
1,0,0,9,0,0,0,0,0,0,9,9,9,0,9,0,0,0,3,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,20,1,27,9,18,0,0,0,0,27,27,27,0,27,0,0,0,6,0,0
1,20,1,180,27,0,45,90,1,54,126,180,126,54,90,54,0,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,160,0,0,150,10,1,50,110,160,110,50,60,50,0,1,5,0,0
1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
1,18,1,396,0,9,0,0,0,135,261,396,261,135,261,135,0,0,6,0,0
0,0,0,198,0,0,117,36,0,72,126,198,126,72,126,72,0,0,5,1,0
1,0,0,63,0,63,0,0,0,18,45,63,45,18,45,18,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,0,0,45,0,0,0,0,0,9,36,45,36,9,36,9,0,0,5,1,0
1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,13,1,423,36,0,0,117,0,153,270,423,270,153,270,153,1,0,3,1,1
0,0,0,9,9,0,0,0,0,0,9,9,9,0,9,0,0,0,1,0,0
1,16,1,63,63,0,0,0,0,9,54,63,54,9,54,9,0,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,9,9,0,0,0,0,0,9,9,9,0,9,0,0,0,2,1,0
1,17,1,279,0,0,27,99,0,45,126,270,126,45,99,126,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,0,0,153,63,0,0,0,0,45,108,153,108,45,108,45,0,0,6,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
-1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
0,13,2,126,0,0,99,0,0,36,90,126,90,36,90,36,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
-1,12,1,72,0,0,9,9,0,18,54,72,54,18,54,18,0,0,5,1,0
-1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
