classe_num,avgNote_w19,ndevoir_w19,log_w19,logMonday_w19,logSunday_w19,logWed_w19,logThursday_w19,DiffDaysWeek,log_resource,log_core,logviewed_w19,logviewedCore_w19,logviewedResource_w19,logViewedTargetCourse_w19,logViewedTargetCourseModule_w19,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,17.5,2,1296,180,90,117,261,0,585,711,1296,711,585,711,585,0,0,6,0,0
1,15.5,2,63,0,0,0,0,0,27,36,63,36,27,36,27,0,0,4,0,0
1,15.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,14,2,90,0,0,0,0,0,9,81,90,81,9,81,9,0,0,3,0,0
1,18.6667,3,900,324,0,0,405,0,279,558,900,558,279,387,342,0,0,6,0,0
1,19.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,19.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,18,2,144,0,0,0,72,0,36,108,144,108,36,108,36,0,0,5,0,0
1,14,1,315,45,0,18,216,1,90,225,315,225,90,225,90,0,1,4,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,12,3,873,99,63,144,27,1,252,621,873,621,252,621,252,0,1,6,0,0
1,18,3,198,36,0,0,72,0,36,162,198,162,36,162,36,1,0,4,0,0
1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,17.3333,3,1155,154,242,165,242,1,352,803,1155,803,352,803,352,0,1,6,0,0
1,14.5,2,108,108,0,0,0,0,27,81,108,81,27,81,27,0,0,4,0,0
1,17,2,225,126,0,9,45,0,63,162,225,162,63,162,63,0,0,3,0,0
1,19.6667,3,846,414,288,0,0,0,432,414,846,414,432,414,432,0,0,6,0,0
1,18,3,639,117,18,0,0,0,171,468,639,468,171,432,171,0,0,5,0,0
1,12.5,2,531,108,72,63,72,1,135,396,531,396,135,396,135,0,1,6,0,1
1,16.6667,3,45,0,0,0,9,0,9,36,45,36,9,36,9,0,0,5,0,0
0,8.5,2,252,72,0,36,0,1,72,180,252,180,72,180,72,0,1,4,0,0
