classe_num,avgNote_w20,ndevoir_w20,log_w20,logMonday_w20,logSunday_w20,logWed_w20,logThursday_w20,DiffDaysWeek,log_resource,log_core,logviewed_w20,logviewedCore_w20,logviewedResource_w20,logViewedTargetCourse_w20,logViewedTargetCourseModule_w20,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,18,3,1296,180,90,117,261,0,585,711,1296,711,585,711,585,1,0,6,0,0
1,16,2,63,0,0,0,0,0,27,36,63,36,27,36,27,0,0,4,0,0
1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,14,2,90,0,0,0,0,0,9,81,90,81,9,81,9,0,0,3,0,0
1,19,3,900,324,0,0,405,0,279,558,900,558,279,387,342,0,0,6,0,0
1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,18,2,225,0,81,0,72,1,63,162,225,162,63,162,63,0,1,5,0,0
1,16,2,315,45,0,18,216,0,90,225,315,225,90,225,90,1,0,4,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,12,3,873,99,63,144,27,0,252,621,873,621,252,621,252,0,0,6,0,0
1,18,3,198,36,0,0,72,0,36,162,198,162,36,162,36,0,0,4,0,0
1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,17,3,1903,495,242,165,242,1,594,1309,1903,1309,594,1309,594,0,1,6,0,0
1,15,2,108,108,0,0,0,0,27,81,108,81,27,81,27,0,0,4,0,0
1,17,2,225,126,0,9,45,0,63,162,225,162,63,162,63,0,0,3,0,0
1,20,3,846,414,288,0,0,0,432,414,846,414,432,414,432,0,0,6,0,0
1,18,3,639,117,18,0,0,0,171,468,639,468,171,432,171,0,0,5,0,0
1,13,2,594,108,72,63,72,1,144,450,594,450,144,450,144,0,1,6,0,1
1,17,3,45,0,0,0,9,0,9,36,45,36,9,36,9,0,0,5,0,0
