classe_num,avgNote_w24,ndevoir_w24,log_w24,logMonday_w24,logSunday_w24,logWed_w24,logThursday_w24,DiffDaysWeek,log_resource,log_core,logviewed_w24,logviewedCore_w24,logviewedResource_w24,logViewedTargetCourse_w24,logViewedTargetCourseModule_w24,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,16.25,4,450,0,0,0,189,1,126,324,450,324,126,324,126,0,1,4,0,0
0,11,2,9,9,0,0,0,0,0,9,9,9,0,9,0,0,0,2,1,0
1,16.6667,3,891,72,0,72,351,1,279,504,882,504,279,477,360,0,1,6,0,0
0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
-1,2.33333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,18,2,280,0,90,100,0,0,40,240,280,240,40,240,40,0,0,5,1,0
1,17,2,459,63,0,0,306,0,252,207,459,207,252,207,252,0,0,6,0,0
-1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
-1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,11.3333,6,153,0,0,99,27,0,36,108,153,108,36,108,45,0,0,6,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
-1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
-1,8.25,4,72,0,0,9,9,0,18,54,72,54,18,54,18,0,0,5,1,0
-1,9.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
-1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,17.5,2,720,352,0,104,56,1,328,392,720,392,328,392,328,0,1,5,0,0
1,14,3,488,40,0,176,96,0,80,408,488,408,80,408,80,0,0,6,1,1
1,14.25,4,1764,1233,0,18,207,1,576,1188,1764,1188,576,1188,576,0,1,6,0,0
1,15,3,152,0,0,16,0,0,32,120,152,120,32,112,32,0,0,6,0,1
1,16.5,2,616,72,0,240,72,0,264,352,616,352,264,352,264,0,0,4,0,0
1,14.6667,3,920,168,224,64,56,0,240,680,920,680,240,680,240,0,0,4,0,0
1,16.6667,3,522,387,36,0,0,0,117,405,522,405,117,405,117,1,0,4,0,0
1,17.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,20,3,1224,160,184,240,336,0,312,912,1224,912,312,912,312,0,0,6,0,0
1,12,2,432,80,0,40,112,0,104,328,432,328,104,328,104,0,0,3,0,0
1,13.25,4,192,104,0,0,64,0,32,160,192,160,32,160,32,1,0,5,0,0
1,19.75,4,608,48,0,0,16,0,280,328,608,328,280,328,280,0,0,6,1,0
1,15.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,14.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,17.3333,3,376,64,0,304,0,0,248,128,376,128,248,128,248,0,0,6,0,0
1,17.5,4,456,288,40,0,72,0,88,368,456,368,88,368,88,0,0,6,0,0
1,15.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,13,3,48,16,0,0,0,0,0,48,48,48,0,48,0,0,0,5,1,0
0,14.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
0,14.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17.8,5,8,8,0,0,0,0,0,8,8,8,0,8,0,1,0,6,0,0
1,16,2,32,0,0,32,0,0,0,32,32,32,0,32,0,0,0,4,0,0
1,16.5,4,984,0,0,160,632,0,200,784,984,784,200,784,200,0,0,6,0,0
1,17.5,4,880,0,120,0,0,0,344,536,880,536,344,536,344,0,0,6,0,0
0,13,4,504,224,0,112,128,0,200,304,504,304,200,304,200,0,0,6,0,0
1,19.3333,3,1096,248,0,176,392,1,488,608,1096,608,488,608,488,0,1,5,0,0
1,15.5,2,192,8,0,72,0,0,32,160,192,160,32,160,32,0,0,4,0,0
1,17.3333,3,704,64,0,312,160,1,152,552,704,552,152,552,152,0,1,5,0,0
1,17,2,672,0,72,192,0,1,264,408,672,408,264,408,264,0,1,4,0,0
1,15.5,4,40,0,0,0,40,0,8,32,40,32,8,32,8,0,0,6,0,0
1,20,3,272,0,0,0,24,1,32,240,272,240,32,240,32,0,1,6,0,0
1,13,3,248,112,0,0,32,0,8,240,248,240,8,48,8,0,0,3,0,0
1,15.5,2,64,0,8,0,0,0,16,48,64,48,16,48,16,0,0,5,0,0
1,14,1,24,0,0,0,0,0,8,16,24,16,8,16,8,0,0,2,0,0
-1,12,2,16,0,8,8,0,0,0,16,16,16,0,16,0,0,0,4,1,0
1,17.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,15,4,400,0,0,240,0,0,184,216,400,216,184,216,184,1,0,5,0,1
1,17.5,4,664,40,0,152,0,1,232,352,648,352,232,352,288,1,1,6,0,0
1,19,2,80,0,0,0,0,0,16,64,80,64,16,64,16,0,0,4,1,0
0,12.75,4,392,0,0,184,120,0,144,248,392,248,144,248,144,0,0,6,0,0
1,16.5,4,160,32,48,40,0,0,40,120,160,120,40,120,40,0,0,6,0,0
1,17,4,8,0,0,0,0,1,0,8,8,8,0,8,0,0,1,6,0,0
1,14.5,2,40,0,40,0,0,1,8,32,40,32,8,32,8,0,1,6,0,0
1,14.75,4,896,648,0,0,0,0,384,512,896,512,384,512,384,1,0,6,0,0
1,16.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0
1,15.6667,3,104,0,0,0,40,0,32,72,104,72,32,72,32,0,0,3,0,0
1,14,3,96,8,24,0,32,0,16,80,96,80,16,80,16,0,0,4,0,0
1,16.6667,3,40,0,0,0,40,0,8,32,40,32,8,32,8,0,0,4,0,0
1,14.5,4,819,369,0,0,216,0,315,504,819,504,315,504,315,1,0,6,1,0
-1,3.5,4,64,64,0,0,0,0,16,48,64,48,16,48,16,0,0,4,0,0
1,18.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
-1,6.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
-1,5,3,88,8,80,0,0,1,40,48,88,48,40,48,40,1,1,5,0,0
1,0,0,144,8,40,16,24,0,16,128,144,128,16,128,16,0,0,2,0,0
1,15.3333,3,48,0,0,40,0,0,0,48,48,48,0,48,0,1,0,4,0,0
1,15.5,2,208,32,64,64,0,1,32,112,200,112,32,112,80,0,1,4,0,0
1,12.5,2,80,24,0,0,0,0,32,48,80,48,32,48,32,0,0,4,0,0
1,14.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,16.3333,3,64,0,24,0,0,0,16,48,64,48,16,48,16,0,0,6,0,0
1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,18.75,4,592,168,0,0,104,0,224,368,592,368,224,368,224,0,0,6,0,0
0,13.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,14.5,2,264,0,0,80,128,0,88,176,264,176,88,176,88,0,0,3,1,0
1,18.4,5,1360,96,56,184,136,1,336,1024,1360,1024,336,1024,336,1,1,5,0,0
0,11.6667,3,192,0,0,0,0,0,32,160,192,160,32,160,32,0,0,5,0,0
1,17.6667,3,216,0,56,40,8,0,64,152,216,152,64,152,64,0,0,5,1,0
1,14,2,504,104,0,128,88,0,0,240,472,240,0,240,192,0,0,4,0,0
1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
-1,5.5,2,528,144,24,56,72,0,144,384,528,384,144,384,144,0,0,3,0,0
1,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,13,2,192,48,8,0,0,0,8,184,192,184,8,184,8,0,0,6,0,0
-1,9.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,18.75,4,104,0,0,0,32,0,32,72,104,72,32,72,32,0,0,6,0,0
-1,6,4,24,0,0,0,0,0,0,24,24,24,0,16,0,1,0,5,0,0
1,15.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,17,4,100,40,0,0,10,0,30,70,100,70,30,70,30,0,0,6,0,0
0,11.5,4,32,0,0,0,0,0,8,24,32,24,8,24,8,1,0,5,0,0
-1,5.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,15,4,224,48,0,64,40,0,72,152,224,152,72,152,72,1,0,6,0,0
1,17.75,4,32,0,0,32,0,0,8,24,32,24,8,24,8,0,0,6,0,0
1,12.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15.5,2,384,8,48,208,0,0,112,272,384,272,112,272,112,0,0,4,0,0
0,12.5,4,360,0,0,0,80,0,216,144,360,144,216,144,216,0,0,6,0,0
1,16.5,2,184,0,0,32,80,0,64,120,184,120,64,120,64,0,0,4,0,0
1,19,4,32,0,0,32,0,0,0,32,32,32,0,32,0,0,0,6,1,0
-1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
-1,5,1,799,136,0,0,527,0,340,459,799,459,340,459,340,0,0,1,0,0
1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,16,3,24,0,0,0,0,0,0,24,24,24,0,16,0,0,0,5,0,0
1,18.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,11.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,14.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,17.5,2,464,8,0,344,0,0,208,256,464,256,208,256,208,0,0,6,1,0
1,17.3333,3,96,32,0,0,32,0,24,72,96,72,24,72,24,0,0,6,0,0
1,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,14.5,4,312,0,0,0,0,0,184,128,312,128,184,128,184,1,0,6,0,0
1,13.75,4,32,0,0,0,32,0,8,24,32,24,8,24,8,0,0,6,1,0
0,9.33333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,16,2,1000,136,72,0,328,0,288,712,1000,712,288,712,288,0,0,3,0,0
1,12.25,4,560,176,0,0,0,0,216,344,560,344,216,344,216,1,0,6,0,0
1,12.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1
1,16.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,12.5,2,8,8,0,0,0,0,0,8,8,8,0,8,0,1,0,4,0,0
1,15.5,4,608,8,384,0,216,0,272,336,608,336,272,336,272,1,0,6,1,0
0,13,1,232,0,0,0,0,1,80,152,232,152,80,152,80,0,1,3,0,0
-1,5.66667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,19.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,16,3,424,8,0,0,0,0,296,128,424,128,296,128,296,0,0,6,0,0
1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
0,7.75,4,160,0,160,0,0,0,96,64,160,64,96,64,96,0,0,6,1,0
1,15.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1
1,18.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,9.66667,3,40,0,0,0,0,0,8,32,40,32,8,32,8,0,0,5,0,0
1,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,9.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1
1,19.5,4,200,0,0,0,0,0,56,144,200,144,56,144,56,1,0,6,0,0
1,18,2,96,0,0,0,0,0,16,80,96,80,16,80,16,0,0,5,0,0
-1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,11.5,2,432,0,0,0,0,0,296,136,432,136,296,136,296,0,0,4,0,0
1,13.3333,3,240,40,0,64,0,0,88,152,240,152,88,152,88,0,0,3,0,0
1,15.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,10.5,2,120,0,120,0,0,0,48,72,120,72,48,72,48,0,0,4,0,0
