classe_num,avgNote_w34,ndevoir_w34,log_34,logMonday_w34,logSunday_w34,logWed_w34,logThursday_w34,DiffDaysWeek,log_resource,log_core,logviewed_w34,logviewedCore_w34,logviewedResource_w34,logViewedTargetCourse_w34,logViewedTargetCourseModule_w34,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,16.25,4,495,0,0,45,189,1,135,360,495,360,135,360,135,0,1,4,0,0
0,11,2,9,9,0,0,0,0,0,9,9,9,0,9,0,0,0,2,1,0
1,16.1667,6,1260,72,0,189,351,0,432,720,1251,720,432,693,513,0,0,6,0,0
0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,18,5,380,0,190,100,0,0,80,300,380,300,80,300,80,1,0,5,1,0
1,15.8333,6,486,63,0,0,306,1,252,225,486,225,252,225,261,0,1,6,0,0
-1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
-1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,11.3333,6,153,0,0,99,27,0,36,108,153,108,36,108,45,0,0,6,0,0
1,15.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
-1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
-1,7.8,5,72,0,0,9,9,0,18,54,72,54,18,54,18,0,0,5,1,0
-1,7.16667,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
-1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,15.6,5,1424,352,0,240,240,1,520,904,1424,904,520,904,520,1,1,5,0,0
1,13.25,4,608,40,0,216,136,0,104,504,608,504,104,504,104,0,0,6,1,1
1,13.6,5,2088,1269,0,72,252,0,684,1404,2088,1404,684,1404,684,0,0,6,0,0
1,15,3,168,0,0,16,16,0,32,136,168,136,32,128,32,0,0,6,0,1
1,17.25,4,784,72,88,240,72,0,320,464,784,464,320,464,320,0,0,4,0,0
1,14.25,4,1056,168,224,136,56,0,272,784,1056,784,272,784,272,0,0,4,0,0
1,17,4,648,513,36,0,0,0,153,495,648,495,153,495,153,1,0,4,0,0
1,15.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1
1,15.2,5,8,0,0,0,8,0,0,8,8,8,0,8,0,0,0,6,0,0
1,18.6,5,1728,224,184,264,560,1,544,1184,1728,1184,544,1184,544,0,1,6,0,0
1,14,3,624,120,0,72,168,0,152,472,624,472,152,472,152,0,0,3,0,0
1,13,5,264,104,0,32,64,0,48,216,264,216,48,216,48,0,0,5,0,0
1,19.8333,6,608,48,0,0,16,0,280,328,608,328,280,328,280,1,0,6,1,0
1,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,14.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,16.3333,3,32,32,0,0,0,0,8,24,32,24,8,24,8,0,0,4,0,0
1,17.25,4,376,64,0,304,0,0,248,128,376,128,248,128,248,0,0,6,0,0
1,14.8333,6,456,288,40,0,72,0,88,368,456,368,88,368,88,1,0,6,0,0
1,15.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,13.75,4,56,16,0,0,0,0,0,56,56,56,0,56,0,0,0,5,1,0
0,11.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
0,11.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
