classe_num,avgNote_w18,ndevoir_w18,log_w18,logMonday_w18,logSunday_w18,logWed_w18,logThursday_w18,DiffDaysWeek,log_resource,log_core,logviewed_w18,logviewedCore_w18,logviewedResource_w18,logViewedTargetCourse_w18,logViewedTargetCourseModule_w18,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,17.5,2,1296,180,90,117,261,1,585,711,1296,711,585,711,585,0,1,6,0,0
1,15.5,2,63,0,0,0,0,0,27,36,63,36,27,36,27,0,0,4,0,0
1,15.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,14,2,90,0,0,0,0,0,9,81,90,81,9,81,9,0,0,3,0,0
1,18.6667,3,900,324,0,0,405,0,279,558,900,558,279,387,342,0,0,6,0,0
1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,19.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,18,2,144,0,0,0,72,0,36,108,144,108,36,108,36,0,0,5,0,0
1,14,1,117,45,0,18,18,0,36,81,117,81,36,81,36,0,0,4,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,12,3,837,63,63,144,27,0,234,603,837,603,234,603,234,0,0,6,0,0
1,17.5,2,198,36,0,0,72,0,36,162,198,162,36,162,36,0,0,4,0,0
1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,17.3333,3,1089,88,242,165,242,0,319,770,1089,770,319,770,319,0,0,6,0,0
1,14.5,2,108,108,0,0,0,0,27,81,108,81,27,81,27,0,0,4,0,0
1,17,2,225,126,0,9,45,1,63,162,225,162,63,162,63,0,1,3,0,0
1,19.6667,3,846,414,288,0,0,0,432,414,846,414,432,414,432,0,0,6,0,0
1,18,3,639,117,18,0,0,0,171,468,639,468,171,432,171,0,0,5,0,0
1,12.5,2,369,108,72,0,72,0,108,261,369,261,108,261,108,0,0,6,0,1
1,16.6667,3,45,0,0,0,9,0,9,36,45,36,9,36,9,0,0,5,0,0
0,8.5,2,180,72,0,36,0,1,54,126,180,126,54,126,54,1,1,4,0,0
1,10.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15.3333,3,45,45,0,0,0,0,9,36,45,36,9,36,9,0,0,6,1,0
1,14.5,2,1780,750,0,200,190,0,620,1160,1780,1160,620,1160,620,0,0,4,0,0
0,12,2,27,0,18,9,0,0,0,27,27,27,0,27,0,1,0,5,0,0
1,18.5,2,66,0,0,0,0,0,22,44,66,44,22,33,22,1,0,4,0,0
1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,15,1,240,40,0,40,0,0,110,130,240,130,110,130,110,0,0,3,0,0
1,19.3333,3,693,27,0,9,18,1,297,387,693,387,297,297,297,0,1,6,0,0
1,17.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,14.3333,3,100,60,0,0,0,0,40,60,100,60,40,60,40,0,0,6,0,0
0,11.5,2,468,0,405,0,0,0,315,153,468,153,315,153,315,0,0,5,0,0
1,18.5,2,207,0,0,45,36,0,45,162,207,162,45,162,45,0,0,5,0,0
1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17.3333,3,333,198,0,54,0,0,90,243,333,243,90,243,90,0,0,6,1,0
1,18,1,54,0,0,0,54,0,0,54,54,54,0,54,0,0,0,5,0,0
1,16.3333,3,126,0,0,63,63,1,27,99,126,99,27,99,27,0,1,6,0,0
1,0,0,9,9,0,0,0,0,0,9,9,9,0,9,0,0,0,3,0,1
1,16.5,2,63,0,0,0,0,0,27,36,63,36,27,36,27,0,0,6,1,0
1,19.3333,3,280,70,10,0,50,0,80,200,280,200,80,200,80,0,0,4,0,0
1,19.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,19.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
1,19.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0
1,16.5,2,390,20,60,210,0,0,160,230,390,230,160,230,160,0,0,5,0,0
1,18.3333,3,297,0,63,0,0,0,153,144,297,144,153,144,153,0,0,6,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,15.3333,3,243,72,81,0,0,0,63,180,243,180,63,180,63,0,0,5,1,0
1,14.5,2,288,63,0,72,0,0,126,162,288,162,126,162,126,0,0,3,0,0
0,11.3333,3,108,0,0,0,108,0,54,54,108,54,54,54,54,0,0,3,0,0
1,14,1,297,27,0,0,126,0,0,135,279,135,0,126,117,0,0,2,1,0
1,17,1,9,0,0,0,0,0,0,9,9,9,0,9,0,0,0,3,0,0
1,15,2,45,0,0,45,0,0,9,36,45,36,9,36,9,0,0,4,1,0
1,19,3,27,9,18,0,0,0,0,27,27,27,0,27,0,0,0,6,0,0
1,19.3333,3,702,27,0,99,378,1,162,450,693,450,162,351,225,0,1,6,0,0
0,14.5,2,180,90,0,0,90,0,72,108,180,108,72,108,72,0,0,5,0,0
1,17.3333,3,190,30,0,150,10,0,50,140,190,140,50,90,50,0,0,5,0,0
1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
1,19,3,486,0,9,90,0,0,162,324,486,324,162,324,162,0,0,6,0,0
0,12,2,297,0,63,153,36,0,108,189,297,189,108,189,108,0,0,5,1,0
1,17,1,135,72,63,0,0,0,36,99,135,99,36,99,36,1,0,6,0,0
0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,19,1,144,0,0,54,45,0,27,117,144,117,27,117,27,0,0,5,1,0
1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,13.5,2,585,36,63,0,117,0,198,387,585,387,198,387,198,0,0,3,1,1
0,9,1,18,18,0,0,0,0,0,18,18,18,0,18,0,0,0,1,0,0
1,17,3,126,63,0,0,63,0,18,108,126,108,18,108,18,0,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,17.3333,3,324,0,0,0,189,0,99,225,324,225,99,225,99,0,0,4,0,0
0,11,2,9,9,0,0,0,0,0,9,9,9,0,9,0,0,0,2,1,0
1,16.6667,3,342,0,0,27,99,0,72,162,333,162,72,135,153,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-1,2.33333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1
1,18,2,280,0,90,100,0,0,40,240,280,240,40,240,40,0,0,5,1,0
1,16,1,459,63,0,0,306,0,252,207,459,207,252,207,252,0,0,6,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
-1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,11.3333,6,153,0,0,99,27,0,36,108,153,108,36,108,45,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
