classe_num,avgNote_w7,ndevoir_w7,log_w7,logsMonday_w7,logSunday_w7,logWed_w7,logThursday_w7,DiffDaysWeek,log_resource,log_core,logviewed_w7,logviewedCore_w7,logviewedResource_w7,logViewedTargetCourse_w7,logViewedTargetCourseModule_w7,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,17,1,981,180,45,117,180,1,432,549,981,549,432,549,432,1,1,6,0,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,18,1,783,207,0,0,405,0,279,441,783,441,279,270,342,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,14,1,117,45,0,18,18,0,36,81,117,81,36,81,36,0,0,4,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,11.5,2,612,63,63,108,27,1,171,441,612,441,171,441,171,1,1,6,0,0
1,18,1,162,36,0,0,72,0,27,135,162,135,27,135,27,0,0,4,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,18,1,715,44,242,165,99,0,220,495,715,495,220,495,220,0,0,6,0,0
1,0,0,108,108,0,0,0,0,27,81,108,81,27,81,27,0,0,4,0,0
1,18,1,90,81,0,9,0,0,27,63,90,63,27,63,27,0,0,3,0,0
1,20,1,810,414,252,0,0,0,432,378,810,378,432,378,432,0,0,6,0,0
1,17.5,2,621,117,0,0,0,1,171,450,621,450,171,414,171,1,1,5,0,0
1,12,1,216,72,0,0,72,1,72,144,216,144,72,144,72,0,1,6,0,1
1,16.5,2,9,0,0,0,9,0,0,9,9,9,0,9,0,1,0,5,0,0
0,0,0,72,72,0,0,0,1,27,45,72,45,27,45,27,0,1,4,0,0
1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,13,1,45,45,0,0,0,0,9,36,45,36,9,36,9,0,0,6,1,0
1,14,1,940,530,0,0,100,0,320,620,940,620,320,620,320,0,0,4,0,0
0,0,0,27,0,18,9,0,0,0,27,27,27,0,27,0,0,0,5,0,0
1,17,1,66,0,0,0,0,0,22,44,66,44,22,33,22,0,0,4,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,15,1,240,40,0,40,0,0,110,130,240,130,110,130,110,0,0,3,0,0
1,20,1,441,27,0,9,18,0,135,297,441,297,135,207,135,0,0,6,0,0
1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,11,1,100,60,0,0,0,0,40,60,100,60,40,60,40,0,0,6,0,0
0,0,0,468,0,405,0,0,0,315,153,468,153,315,153,315,0,0,5,0,0
1,17,1,162,0,0,0,36,0,36,126,162,126,36,126,36,0,0,5,0,0
1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17,1,333,198,0,54,0,0,90,243,333,243,90,243,90,0,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,9,9,0,0,0,0,0,9,9,9,0,9,0,0,0,3,0,1
1,0,0,63,0,0,0,0,0,27,36,63,36,27,36,27,0,0,6,1,0
1,0,0,280,70,10,0,50,0,80,200,280,200,80,200,80,0,0,4,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,0,0,60,0,60,0,0,0,30,30,60,30,30,30,30,0,0,5,0,0
1,19,2,297,0,63,0,0,0,153,144,297,144,153,144,153,0,0,6,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,17,1,99,9,0,0,0,0,27,72,99,72,27,72,27,0,0,5,1,0
1,0,0,144,63,0,0,0,0,63,81,144,81,63,81,63,0,0,3,0,0
0,9,1,108,0,0,0,108,0,54,54,108,54,54,54,54,1,0,3,0,0
1,0,0,18,18,0,0,0,0,0,18,18,18,0,18,0,0,0,2,1,0
1,0,0,9,0,0,0,0,0,0,9,9,9,0,9,0,0,0,3,0,0
1,0,0,45,0,0,45,0,1,9,36,45,36,9,36,9,0,1,4,1,0
1,20,1,27,9,18,0,0,0,0,27,27,27,0,27,0,0,0,6,0,0
1,20,1,180,27,0,45,90,0,54,126,180,126,54,90,54,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,160,0,0,150,10,0,50,110,160,110,50,60,50,0,0,5,0,0
1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
