classe_num,avgNote_w15,ndevoir_w15,log_w15,logsMonday_w15,logSunday_w15,logWed_w15,logThursday_w15,DiffDaysWeek,log_resource,log_core,logviewed_w15,logviewedCore_w15,logviewedResource_w15,logViewedTargetCourse_w15,logViewedTargetCourseModule_w15,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,17.5,2,1134,180,90,117,180,0,504,630,1134,630,504,630,504,0,0,6,0,0
1,15,1,63,0,0,0,0,0,27,36,63,36,27,36,27,0,0,4,0,0
1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,18.6667,3,900,324,0,0,405,0,279,558,900,558,279,387,342,1,0,6,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,19.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
1,18,2,144,0,0,0,72,0,36,108,144,108,36,108,36,0,0,5,0,0
1,14,1,117,45,0,18,18,0,36,81,117,81,36,81,36,0,0,4,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,12,3,801,63,63,108,27,1,225,576,801,576,225,576,225,0,1,6,0,0
1,17.5,2,198,36,0,0,72,0,36,162,198,162,36,162,36,0,0,4,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,17.5,2,1001,88,242,165,154,1,297,704,1001,704,297,704,297,0,1,6,0,0
1,14.5,2,108,108,0,0,0,0,27,81,108,81,27,81,27,0,0,4,0,0
1,17,2,198,126,0,9,18,0,63,135,198,135,63,135,63,0,0,3,0,0
1,19.6667,3,846,414,288,0,0,0,432,414,846,414,432,414,432,0,0,6,0,0
1,17.5,2,639,117,18,0,0,0,171,468,639,468,171,432,171,0,0,5,0,0
1,12.5,2,288,72,72,0,72,0,90,198,288,198,90,198,90,0,0,6,0,1
1,16.6667,3,45,0,0,0,9,0,9,36,45,36,9,36,9,0,0,5,0,0
0,10,1,108,72,0,36,0,0,36,72,108,72,36,72,36,0,0,4,0,0
1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15.3333,3,45,45,0,0,0,0,9,36,45,36,9,36,9,0,0,6,1,0
1,14.5,2,1700,750,0,200,150,1,600,1100,1700,1100,600,1100,600,1,1,4,0,0
0,13,1,27,0,18,9,0,0,0,27,27,27,0,27,0,0,0,5,0,0
1,17,1,66,0,0,0,0,0,22,44,66,44,22,33,22,0,0,4,0,0
1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
1,15,1,240,40,0,40,0,0,110,130,240,130,110,130,110,0,0,3,0,0
1,19.5,2,441,27,0,9,18,0,135,297,441,297,135,207,135,0,0,6,0,0
1,17.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,14.3333,3,100,60,0,0,0,0,40,60,100,60,40,60,40,0,0,6,0,0
0,11.5,2,468,0,405,0,0,0,315,153,468,153,315,153,315,0,0,5,0,0
1,18.5,2,207,0,0,45,36,0,45,162,207,162,45,162,45,0,0,5,0,0
1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17.3333,3,333,198,0,54,0,0,90,243,333,243,90,243,90,0,0,6,1,0
1,18,1,54,0,0,0,54,0,0,54,54,54,0,54,0,1,0,5,0,0
1,16.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,9,9,0,0,0,0,0,9,9,9,0,9,0,0,0,3,0,1
1,16.5,2,63,0,0,0,0,0,27,36,63,36,27,36,27,1,0,6,1,0
1,19,1,280,70,10,0,50,0,80,200,280,200,80,200,80,0,0,4,0,0
1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,19.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,16.5,2,290,20,60,210,0,1,110,180,290,180,110,180,110,0,1,5,0,0
1,18.3333,3,297,0,63,0,0,0,153,144,297,144,153,144,153,0,0,6,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,15.5,2,162,72,0,0,0,0,45,117,162,117,45,117,45,0,0,5,1,0
1,16,1,144,63,0,0,0,0,63,81,144,81,63,81,63,0,0,3,0,0
0,12,2,108,0,0,0,108,0,54,54,108,54,54,54,54,0,0,3,0,0
1,14,1,297,27,0,0,126,0,0,135,279,135,0,126,117,0,0,2,1,0
1,17,1,9,0,0,0,0,0,0,9,9,9,0,9,0,0,0,3,0,0
1,15,2,45,0,0,45,0,0,9,36,45,36,9,36,9,0,0,4,1,0
1,19,3,27,9,18,0,0,0,0,27,27,27,0,27,0,0,0,6,0,0
1,19.3333,3,450,27,0,99,234,0,144,306,450,306,144,207,144,0,0,6,0,0
0,14.5,2,180,90,0,0,90,0,72,108,180,108,72,108,72,0,0,5,0,0
1,17,1,190,30,0,150,10,0,50,140,190,140,50,90,50,0,0,5,0,0
1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
1,19,3,486,0,9,90,0,0,162,324,486,324,162,324,162,0,0,6,0,0
0,9,1,297,0,63,153,36,0,108,189,297,189,108,189,108,0,0,5,1,0
1,0,0,135,72,63,0,0,0,36,99,135,99,36,99,36,0,0,6,0,0
0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,19,1,144,0,0,54,45,0,27,117,144,117,27,117,27,0,0,5,1,0
1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,13.5,2,522,36,0,0,117,0,189,333,522,333,189,333,189,0,0,3,1,1
0,9,1,18,18,0,0,0,0,0,18,18,18,0,18,0,0,0,1,0,0
1,16,2,63,63,0,0,0,0,9,54,63,54,9,54,9,0,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,16.5,2,324,0,0,0,189,0,99,225,324,225,99,225,99,0,0,4,0,0
0,0,0,9,9,0,0,0,0,0,9,9,9,0,9,0,0,0,2,1,0
1,16.6667,3,342,0,0,27,99,0,72,162,333,162,72,135,153,1,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,17,1,280,0,90,100,0,1,40,240,280,240,40,240,40,0,1,5,1,0
1,16,1,459,63,0,0,306,0,252,207,459,207,252,207,252,0,0,6,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
-1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,12.3333,3,126,0,0,99,0,0,36,90,126,90,36,90,36,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
-1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
-1,9.33333,3,72,0,0,9,9,0,18,54,72,54,18,54,18,0,0,5,1,0
-1,10.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,0,0,440,352,0,16,0,0,256,184,440,184,256,184,256,0,0,5,0,0
1,13.5,2,32,0,0,0,32,0,8,24,32,24,8,24,8,0,0,6,1,1
1,15.6667,3,1062,792,0,18,207,1,360,702,1062,702,360,702,360,0,1,6,0,0
1,15,2,16,0,0,16,0,0,0,16,16,16,0,8,0,1,0,6,0,1
1,16.5,2,616,72,0,240,72,0,264,352,616,352,264,352,264,0,0,4,0,0
1,15,2,776,120,224,64,56,1,208,568,776,568,208,568,208,0,1,4,0,0
1,17,1,234,198,36,0,0,0,54,180,234,180,54,180,54,0,0,4,0,0
1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,20,2,944,104,184,152,296,0,272,672,944,672,272,672,272,0,0,6,0,0
1,11,1,416,80,0,40,96,1,104,312,416,312,104,312,104,0,1,3,0,0
1,11,2,32,24,0,0,8,0,0,32,32,32,0,32,0,0,0,5,0,0
1,19.6667,3,608,48,0,0,16,0,280,328,608,328,280,328,280,1,0,6,1,0
1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,17.5,2,376,64,0,304,0,0,248,128,376,128,248,128,248,0,0,6,0,0
1,17.3333,3,144,0,40,0,72,1,48,96,144,96,48,96,48,1,1,6,0,0
1,15.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,12.5,2,48,16,0,0,0,0,0,48,48,48,0,48,0,0,0,5,1,0
0,14.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17.6667,3,8,8,0,0,0,0,0,8,8,8,0,8,0,0,0,6,0,0
1,15,1,32,0,0,32,0,0,0,32,32,32,0,32,0,0,0,4,0,0
1,16.3333,3,144,0,0,32,48,1,24,120,144,120,24,120,24,1,1,6,0,0
1,18.5,2,424,0,64,0,0,0,160,264,424,264,160,264,160,0,0,6,0,0
0,14.3333,3,384,176,0,40,128,1,160,224,384,224,160,224,160,0,1,6,0,0
1,19,2,728,136,0,48,312,0,344,384,728,384,344,384,344,0,0,5,0,0
1,15.5,2,192,8,0,72,0,0,32,160,192,160,32,160,32,0,0,4,0,0
1,18,2,624,24,0,312,120,0,128,496,624,496,128,496,128,0,0,5,0,0
1,17,1,280,0,72,0,0,1,112,168,280,168,112,168,112,0,1,4,0,0
1,16,3,40,0,0,0,40,0,8,32,40,32,8,32,8,0,0,6,0,0
1,20,2,152,0,0,0,24,0,24,128,152,128,24,128,24,0,0,6,0,0
1,12,1,32,0,0,0,32,0,8,24,32,24,8,24,8,0,0,3,0,0
1,15.5,2,64,0,8,0,0,0,16,48,64,48,16,48,16,0,0,5,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
-1,12,2,16,0,8,8,0,1,0,16,16,16,0,16,0,0,1,4,1,0
1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,14,3,400,0,0,240,0,0,184,216,400,216,184,216,184,1,0,5,0,1
1,17,2,264,16,0,48,0,0,112,152,264,152,112,152,112,0,0,6,0,0
1,19,2,80,0,0,0,0,0,16,64,80,64,16,64,16,0,0,4,1,0
0,12.3333,3,304,0,0,184,120,0,112,192,304,192,112,192,112,1,0,6,0,0
1,16.6667,3,160,32,48,40,0,0,40,120,160,120,40,120,40,0,0,6,0,0
1,16.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17,2,744,496,0,0,0,1,312,432,744,432,312,432,312,0,1,6,0,0
1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,15.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,13,2,96,8,24,0,32,0,16,80,96,80,16,80,16,0,0,4,0,0
1,0,0,40,0,0,0,40,0,8,32,40,32,8,32,8,0,0,4,0,0
1,15,2,36,36,0,0,0,0,9,27,36,27,9,27,9,0,0,6,1,0
-1,7,1,64,64,0,0,0,0,16,48,64,48,16,48,16,0,0,4,0,0
1,18.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
-1,7.33333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,16.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
-1,5.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,144,8,40,16,24,0,16,128,144,128,16,128,16,0,0,2,0,0
1,15.5,2,48,0,0,40,0,0,0,48,48,48,0,48,0,0,0,4,0,0
1,15.5,2,96,32,0,64,0,0,32,64,96,64,32,64,32,0,0,4,0,0
1,12.5,2,24,24,0,0,0,0,8,16,24,16,8,16,8,0,0,4,0,0
1,13.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,16.3333,3,64,0,24,0,0,1,16,48,64,48,16,48,16,0,1,6,0,0
1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,18,2,440,112,0,0,104,0,168,272,440,272,168,272,168,0,0,6,0,0
0,13.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,15,1,264,0,0,80,128,0,88,176,264,176,88,176,88,0,0,3,1,0
1,12,1,680,40,40,184,136,0,240,440,680,440,240,440,240,0,0,5,0,0
0,11.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17.6667,3,208,0,56,40,0,0,64,144,208,144,64,144,64,1,0,5,1,0
1,11,1,408,104,0,96,88,1,0,144,376,144,0,144,192,0,1,4,0,0
1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
-1,4,1,192,32,0,0,72,1,48,144,192,144,48,144,48,0,1,3,0,0
1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,13,2,32,0,8,0,0,0,8,24,32,24,8,24,8,1,0,6,0,0
-1,10.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,18.6667,3,104,0,0,0,32,0,32,72,104,72,32,72,32,1,0,6,0,0
-1,8.5,2,24,0,0,0,0,0,0,24,24,24,0,16,0,1,0,5,0,0
1,15.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17,3,100,40,0,0,10,0,30,70,100,70,30,70,30,1,0,6,0,0
0,10.5,2,32,0,0,0,0,0,8,24,32,24,8,24,8,0,0,5,0,0
-1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,16.5,2,112,48,0,64,0,0,32,80,112,80,32,80,32,0,0,6,0,0
1,17.6667,3,32,0,0,32,0,0,8,24,32,24,8,24,8,0,0,6,0,0
1,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15,1,216,0,48,136,0,0,80,136,216,136,80,136,80,0,0,4,0,0
0,12.6667,3,360,0,0,0,80,1,216,144,360,144,216,144,216,1,1,6,0,0
1,16.5,2,184,0,0,32,80,0,64,120,184,120,64,120,64,0,0,4,0,0
1,19,3,32,0,0,32,0,0,0,32,32,32,0,32,0,0,0,6,1,0
-1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
-1,5,1,799,136,0,0,527,0,340,459,799,459,340,459,340,0,0,1,0,0
1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0
1,16,2,24,0,0,0,0,0,0,24,24,24,0,16,0,0,0,5,0,0
1,18.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,14.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0
1,15,1,88,8,0,0,0,1,8,80,88,80,8,80,8,0,1,6,1,0
1,16.5,2,96,32,0,0,32,0,24,72,96,72,24,72,24,0,0,6,0,0
1,16.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,15,2,312,0,0,0,0,0,184,128,312,128,184,128,184,0,0,6,0,0
1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0
0,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,16,1,696,136,0,0,200,0,200,496,696,496,200,496,200,0,0,3,0,0
1,14.5,2,376,176,0,0,0,1,176,200,376,200,176,200,176,0,1,6,0,0
1,15.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
1,16.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,12,1,8,8,0,0,0,0,0,8,8,8,0,8,0,0,0,4,0,0
1,15,3,224,8,0,0,216,0,96,128,224,128,96,128,96,1,0,6,1,0
0,13,1,184,0,0,0,0,0,72,112,184,112,72,112,72,0,0,3,0,0
-1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,14.5,2,424,8,0,0,0,0,296,128,424,128,296,128,296,0,0,6,0,0
