s,avgNote_w3,ndevoir_w3,log_w3,logsMonday_w3,logSunday_w3,logWed_w3,logThursday_w3,DiffDaysWeek,log_resource,log_core,logviewed_w3,logviewedCore_w3,logviewedResource_w3,logViewedTargetCourse_w3,logViewedTargetCourseModule_w3,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,17,1,198,0,0,27,99,1,0,90,189,90,0,63,81,1,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,0,0,153,63,0,0,0,1,45,108,153,108,45,108,45,0,1,6,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,99,0,0,99,0,0,27,72,99,72,27,72,27,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
-1,12,1,72,0,0,9,9,0,18,54,72,54,18,54,18,1,0,5,1,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,0,0,432,352,0,16,0,1,256,176,432,176,256,176,256,0,1,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1
1,0,0,207,108,0,18,72,1,63,144,207,144,63,144,63,0,1,6,0,0
1,0,0,16,0,0,16,0,0,0,16,16,16,0,8,0,0,0,6,0,1
1,0,0,464,8,0,240,72,0,192,272,464,272,192,272,192,0,0,4,0,0
1,0,0,96,56,0,0,0,0,24,72,96,72,24,72,24,0,0,4,0,0
1,0,0,54,54,0,0,0,0,9,45,54,45,9,45,9,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,20,1,272,8,40,64,128,1,72,200,272,200,72,200,72,1,1,6,0,0
1,0,0,40,0,0,0,40,1,0,40,40,40,0,40,0,0,1,3,0,0
1,0,0,32,24,0,0,8,1,0,32,32,32,0,32,0,0,1,5,0,0
1,0,0,48,48,0,0,0,0,24,24,48,24,24,24,24,0,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,19,1,376,64,0,304,0,1,248,128,376,128,248,128,248,0,1,6,0,0
1,14,1,40,0,0,0,8,1,8,32,40,32,8,32,8,1,1,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,16,16,0,0,0,0,0,16,16,16,0,16,0,0,0,5,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,16,1,8,8,0,0,0,0,0,8,8,8,0,8,0,1,0,6,0,0
1,0,0,32,0,0,32,0,1,0,32,32,32,0,32,0,0,1,4,0,0
1,20,1,96,0,0,32,0,0,16,80,96,80,16,80,16,1,0,6,0,0
1,18,1,112,0,0,0,0,1,56,56,112,56,56,56,56,0,1,6,0,0
0,10,1,136,96,0,0,0,1,64,72,136,72,64,72,64,1,1,6,0,0
1,0,0,136,88,0,48,0,0,48,88,136,88,48,88,48,0,0,5,0,0
1,0,0,192,8,0,72,0,1,32,160,192,160,32,160,32,0,1,4,0,0
1,17,1,448,24,0,232,120,1,80,368,448,368,80,368,80,1,1,5,0,0
1,0,0,56,0,0,0,0,0,32,24,56,24,32,24,32,0,0,4,0,0
1,15,1,40,0,0,0,40,0,8,32,40,32,8,32,8,1,0,6,0,0
1,20,1,24,0,0,0,0,0,0,24,24,24,0,24,0,1,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
